"num_step"	"brunneaA"	"brunneaB"	"deplanataA"	"deplanataB"	"kauaiensisA"	"kauaiensisB"	"mauiensisA"	"mauiensisB"	"molokaiensisA"	"molokaiensisB"	"nihoaA"	"nihoaB"	"nitidaA"	"nitidaC"	"nitidaB"	"parvulaA"	"parvulaB"	"pilimauiensisA"	"pilimauiensisB"	"unicaA"	"unicaB"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"
460	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	3	3	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
470	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
480	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	4	4	4	4	4	5	4	5	2	3	3	5	4	2	4	4	4	1	4	4
490	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
500	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	4	4	4	5	4	5	2	3	3	5	4	2	4	4	4	1	4	4
510	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
520	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	4	4	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
530	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
540	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	4	4	4	4	4	5	4	5	3	3	3	5	4	2	4	4	4	1	4	4
550	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	3	3	4	5	4	5	3	3	3	5	4	2	4	4	4	1	4	4
